text;sentimen;cleaned_text;missing_words;case_folding;normalized_text;normalized_count
Padahal sudah ngerahin bot Buat nyerang Andika maupun PDIP tapi Ahmad Luthfi - Taj Yasin masih aja ketinggalan jauh dari Andika Perkasa - Hendrar Prihadi. Ini menjadi bukti bahwa masyarakat Jawa Tengah itu butuh Rambo bukan Sambo. https://t.co/ZGdHrST8sJ;negatif;padahal sudah ngerahin bot buat nyerang andika maupun pdip tapi ahmad luthfi taj yasin masih aja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;3;padahal sudah ngerahin bot buat nyerang andika maupun pdip tapi ahmad luthfi taj yasin masih aja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;padahal sudah ngerahin bot buat menyerang andika maupun pdip tapi ahmad luthfi taj yasin masih saja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo;2
Kasus ini jaman si Lutfi ( Tukang remes pantat biduan ) jadi Kapolda JATENG.. Kasian sekali korban sudah mencari keadilan tapi tidak di gubris oleh ISILOP .. Emang kapret itu lembaga jadi inget motor aing yang ilang pas laporan ke isilop malah di bentak . @WagimanDeep212_ https://t.co/rksaVKxBCs;negatif;kasus ini jaman si lutfi tukang remes pantat biduan jadi kapolda jateng kasian sekali korban sudah mencari keadilan tapi tidak di gubris oleh isilop emang kapret itu lembaga jadi inget motor aing yang ilang pas laporan ke isilop malah di bentak;6;kasus ini jaman si lutfi tukang remes pantat biduan jadi kapolda jateng kasian sekali korban sudah mencari keadilan tapi tidak di gubris oleh isilop emang kapret itu lembaga jadi inget motor aing yang ilang pas laporan ke isilop malah di bentak;kasus ini jaman sih lutfi tukang remes pantat biduan jadi kapolda jateng kasihan sekali korban sudah mencari keadilan tapi tidak di gubris oleh isilop memang kapret itu lembaga jadi ingat motor saya yang hilang pas laporan ke isilop bahkan di bentak;7
Calon Gubernur Jawa Tengah Ahmad Luthfi ..... https://t.co/1Y1fJ2dGvi;positif;calon gubernur jawa tengah ahmad luthfi;2;calon gubernur jawa tengah ahmad luthfi;calon gubernur jawa tengah ahmad luthfi;0
Sudah waktunya Jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut 02 Pak Ahmad Luthfi Gus Yasin. ;positif;sudah waktunya jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut  pak ahmad luthfi gus yasin;1;sudah waktunya jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut  pak ahmad luthfi gus yasin;sudah waktunya jateng dipimpin pemimpin yang tegas mengayomi dan ada untuk rakyanya serta dekat dengan ulama dan tokoh agama yang ada di jateng monggo coblos nomor urut pak ahmad luthfi gus yasin;0
Bismillah semua karena Allah yuk dukung Pak Ahmad Luthfi Gus Yasin Ngopeni Ngelakoni nomor urut 02 untuk Jateng lebih baik. ;positif;bismillah semua karena allah yuk dukung pak ahmad luthfi gus yasin ngopeni ngelakoni nomor urut  untuk jateng lebih baik;1;bismillah semua karena allah yuk dukung pak ahmad luthfi gus yasin ngopeni ngelakoni nomor urut  untuk jateng lebih baik;bismillah semua karena allah ayo dukung pak ahmad luthfi gus yasin ngopeni ngelakoni nomor urut untuk jateng lebih baik;1
Kabar baik Jateng tetap banteng. Survei terbaru yg digelar Panel Survei Indonesia dari 30 September hingga 10 Oktober 2024. Hasilnya Rambo menang segalanya. Tingkat kesukaan Andika-Hendi 78 9% Luthfi-Yasin 60 8%. Elektabilitas pertanyaan terbuka Andika-Hendi 48 7% https://t.co/w3Qar7Spot;negatif;kabar baik jateng tetap banteng survei terbaru yg digelar panel survei indonesia dari  september hingga  oktober  hasilnya rambo menang segalanya tingkat kesukaan andikahendi   luthfiyasin   elektabilitas pertanyaan terbuka andikahendi  ;10;kabar baik jateng tetap banteng survei terbaru yg digelar panel survei indonesia dari  september hingga  oktober  hasilnya rambo menang segalanya tingkat kesukaan andikahendi   luthfiyasin   elektabilitas pertanyaan terbuka andikahendi  ;kabar baik jateng tetap banteng survei terbaru yang digelar panel survei indonesia dari september hingga oktober hasilnya rambo menang segalanya tingkat kesukaan andikahendi luthfiyasin elektabilitas pertanyaan terbuka andikahendi;1
kesederhanaan dan kepedulian dari Ahmad Luthfi yang selalu menyapa rakyat. ;positif;kesederhanaan dan kepedulian dari ahmad luthfi yang selalu menyapa rakyat;0;kesederhanaan dan kepedulian dari ahmad luthfi yang selalu menyapa rakyat;kesederhanaan dan kepedulian dari ahmad luthfi yang selalu menyapa rakyat;0
Ngopeni Ngelakoni mugi Pak Ahmad Luthfi Gus Yasin menjadi Gubernur dan Wakilgubernur Jawa Tengah.;positif;ngopeni ngelakoni mugi pak ahmad luthfi gus yasin menjadi gubernur dan wakilgubernur jawa tengah;0;ngopeni ngelakoni mugi pak ahmad luthfi gus yasin menjadi gubernur dan wakilgubernur jawa tengah;ngopeni ngelakoni mugi pak ahmad luthfi gus yasin menjadi gubernur dan wakilgubernur jawa tengah;0
Cagub-Cawagub Jateng Ahmad Luthfi -Taj Yasin rupanya tak laku di kalangan Gen Z. Survei terbaru mereka kalah sama Andika Perkasa-Hendrar Prihadi. Penasaran berapa selisih elektabilitas mereka di kalangan Gen Z baca beritanya di sini: https://t.co/2SV2jY0457 #pilkadajateng;negatif;cagubcawagub jateng ahmad luthfi taj yasin rupanya tak laku di kalangan gen z survei terbaru mereka kalah sama andika perkasahendrar prihadi penasaran berapa selisih elektabilitas mereka di kalangan gen z baca beritanya di sini;2;cagubcawagub jateng ahmad luthfi taj yasin rupanya tak laku di kalangan gen z survei terbaru mereka kalah sama andika perkasahendrar prihadi penasaran berapa selisih elektabilitas mereka di kalangan gen z baca beritanya di sini;cagubcawagub jateng ahmad luthfi taj yasin rupanya tidak laku di kalangan gen saja survei terbaru mereka kalah sama andika perkasahendrar prihadi penasaran berapa selisih elektabilitas mereka di kalangan gen saja baca beritanya di sini;3
Calon Gubernur Jawa Tengah (Jateng) Ahmad Luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan Presiden ke-7 Joko Widodo (Jokowi).;positif;calon gubernur jawa tengah jateng ahmad luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan presiden ke joko widodo jokowi;0;calon gubernur jawa tengah jateng ahmad luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan presiden ke joko widodo jokowi;calon gubernur jawa tengah jateng ahmad luthfi menyapa sejumlah relawan warga dan pendukung yang menanti kedatangan presiden ke joko widodo jokowi;0
Jakarta - Cagub Jawa Tengah nomor urut 2 Ahmad Luthfi menghadiri nonton bareng (nobar) Timnas Indonesia vs China;positif;jakarta cagub jawa tengah nomor urut  ahmad luthfi menghadiri nonton bareng nobar timnas indonesia vs china;2;jakarta cagub jawa tengah nomor urut  ahmad luthfi menghadiri nonton bareng nobar timnas indonesia vs china;jakarta cagub jawa tengah nomor urut ahmad luthfi menghadiri menonton bareng menonton bareng timnas indonesia vs china;2
