text;sentimen
Pelaku seni Jateng pilih yang ga kaleng. Andika Perkasa-Hendi untuk Jawa Tengah Pilih Rambo bukan Sambo.;positif
Pagi tadi saya dan Mas Hendrar Prihadi bertemu dengan Ibu Juliana Richards Wakil Kepala Program Kerjasama Kedutaan Besar Inggris. Pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan. Kedutaan Besar Inggris menyatakan mendukung https://t.co/Kl19v03Ddj;positif
Memang benar kata pihak lawan pak Andika ini memang kelasnya calon presiden. Pengalamannya bukan hanya nasional tapi juga internasional. Warga Jawa Tengah beruntung punya gubernur sekelas presiden. Calon Gubernur dan Wakil Gubernur Jawa Tengah Andika Perkasa dan Hendrar Prihadi https://t.co/Vv7IZmFYtB;positif
Pak Andika Perkasa selalu jadi idola di mana-mana. Pilih Rambo bukan Sambo. https://t.co/m7j5x6tYjB;positif
Beruntungnya warga Jateng ini berkah.️ Hendi Sebut Andika Perkasa Potensi Besar Jateng Ini Penjelasannya. Menurut pak @hendrarprihadi sosok @AndikaPerkasa02 sebagai mantan Panglima TNI memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional. Tidak https://t.co/wj1VP4QUZU;positif
Andika perkasa siap bikin Jateng perkasa. Andika Adikrishna siap bikin Blora melenting. https://t.co/UsLMPGCGwe;positif
Karakter pak @AndikaPerkasa02 yang tidak bisa jauh dari Ibu Hetty jelas membuat iri ibu ibu yang lain. Karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan Pak Andika dan sikap ke ibuan Bu Hetty penting bagi perkembang Jawa Tengah.;positif
Pelan-pelan tapi pasti akhirnya pak Andika Perkasa - Hendi unggul atas Luthfi. Tapi jangan lengah tetap semangat untuk #Jatengperkasa https://t.co/VxI0syMkXH;positif
"Berkunjung ke PT. Pandatex Magelang Andika Serap Aspirasi Pekerja &amp; Tinjau Potensi Lapangan Pekerjaan. #JatengBerSATU #JatengPerkasa https://t.co/IJP2bWYyT3";netral
Ganjar Pranowo menegaskan elektabilitas Andika Perkasa terus meningkat di Jawa Tengah karena kerja dari partai politik dan relawan. Rambo menuju Jateng 1. https://t.co/DPmGH3R281;positif
PILKADA JATENG. Komunitas pengusaha Jateng Perkasa dukung total Andika-Hendi... https://t.co/LG87FmIlfD;positif
Andika Perkasa melakukan blusukan ke pasar tradisional di Demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital #JatengPerkasa https://t.co/nurFpPhrIo;netral
Jika pilkada Jawa Tengah diadakan hari ini siapa pilihanmu? Andika Perkasa: RT Ahmad Lutfi: Like ️ #JatengPerkasa https://t.co/ndSbYcFuTv;netral
Komandan Korea Bambang Pacul siap mengawal langsung kemenangan Andika Perkasa - Hendrar Prihadi di Pilgub Jawa Tengah. Aura kebahagiaan ini akan membawa kemenangan Karena Jateng butuh Rambo bukan Sambo!! https://t.co/Zsos3VFInN;positif
Padahal sudah ngerahin bot Buat nyerang Andika maupun PDIP tapi Ahmad Luthfi - Taj Yasin masih aja ketinggalan jauh dari Andika Perkasa - Hendrar Prihadi. Ini menjadi bukti bahwa masyarakat Jawa Tengah itu butuh Rambo bukan Sambo. https://t.co/ZGdHrST8sJ;positif
Calon Gubernur Jawa Tengah Nomor Urut 1 Andika Perkasa berkampanye di Kabupaten Batang Jawa Tengah sepanjang Jumat 18 Oktober 2024. Andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut. ;netral
Relawan Pengusaha Perkasa Hebat mendeklarasikan dukungan untuk Cagub-Cawagub Jateng Andika Perkasa-Hendar Prihadi di acara Tanglet Andika-Hendi. Ketua Umum Relawan @JudysAndra mengajak pemilihan pemula untuk memilih Andika-Hendi yang memiliki rekam jejak mumpuni. ;positif
Cagub Jateng nomor urut 1 Andika Perkasa berani ubah aturan di TNI salah satunya berhasil melakukan reformasi birokrasi di TNI. Jateng Perkasa https://t.co/PhX3YTz3f1;positif
Berpengalaman Nasional dan Internasional Cagub Jateng Jendral Purnawirawan TNI Andika Perkasa Memang benar kata pihak lawan pak Andika ini memang kelasnya calon presiden. Warga Jawa Tengah beruntung punya gubernur sekelas presiden. Yuk Warga Jateng Pilih Andika Perkasa No 1 https://t.co/iPU4KkILX8;positif
Jilbab merah memang seperti itu cantik-cantik dan cerdas. Pilih Rambo bkn Sambo. Pak Andika perkasa Disambut meriah pekerja pabrik MPS Pekalongan https://t.co/j3YAFwUM7u;positif
Relawan Plat G Kota Pekalongan menyatakan dukungannya kepada pasangan Cagub-Cawagub Andika Perkasa dan Hendar Prihadi (Hendi) di Pilkada Jateng 2024. Mereka memilih Andika-Hendi lantaran keduanya dianggap sebagai sosok ideal membangun Jateng Perkasa Semakin Hebat. https://t.co/Ysn6s8t0Op;positif
Andika Perkasa - Hendrar Prihadi Sekelas capres-cawapres yang mau berproses ikut cagub-cawagub karena beliau tidak punya paman di MK Masyarakat Jawa Tengah jangan sia siakan kesempatan ini untuk masa depan Indonesia ya Apalagi kita tahu Jateng butuh Rambo bukan Sambo! https://t.co/VffZCoAI1V;positif
Seeorang Kesatria Sejati Tak Hanya Memikirkan Mementingkan Egonya Sendiri Kesatria Sejati Punya Tujuan Motivasi Mempunyai Nilai- Nilai Serta Bermanfaat Untuk Banyak Orang. ;netral
Momen calon Gubernur Jateng Andika Perkasa berkunjung ke PT. Pandatex Magelang. Di sana Pak Andika mendengarkan aspirasi pekerja dan sekaligus meninjau potensi lapangan pekerjaan. Andika-Hendi untuk Jateng yang lebih baik. Menyala  https://t.co/nAR0lowssq;netral
Momen Cagub/Cawagub Jawa Tengah Andika Perkasa - Hendrar Prihadi mengunjungi pabrik H.M Sampoerna di wilayah Pekalongan. Di sana Pak Andika dan Pak Hendi disambut dengan penuh kehangatan. Luar biasa Andika-Hendi untuk Jateng yang lebih baik. #JatengPerkasa https://t.co/jLhyWtxaPq;positif
Hanya 1 Jenderal Tangguh Yang Merakyat Hanya 1 Jenderal Tangguh Yang Mau Mendengarkan Orang Kecil Hanya 1 Jenderal Tangguh Dan Juga Mantan Walikota Semarang Yang Bisa Memimpin Jawa Tengah Untuk Lebih Baik Lagi. Hanya 1 untuk Jawa Tengah: Andika Perkasa dan Hendrar Priadi https://t.co/j04gabEccc;positif
Sejumlah pengusaha muda di Jawa Tengah yang tergabung dalam Pengusaha Perkasa Hebat mendeklarasikan dukungannya ke paslon nomor urut 1 Andika M Perkasa-Hendrar Prihadi #jatengperkasa https://t.co/UwfKbs6vkj;positif
Berkunjung ke PT Pandatex Magelang Cagub Jateng 'Andika Perkasa' serap aspirasi pekerja. Pak Andika terus bergerak maju menuju Jateng SATU. #JatengPerkasa #JatengBerSATU https://t.co/BFPW798bLy;netral
