normalized_text,sentimen
pelaku seni jateng pilih yang enggak kaleng andika perkasahendi untuk jawa tengah pilih rambo bukan sambo,positif
pagi tadi saya dan mas hendrar prihadi bertemu dengan ibu juliana richards wakil kepala program kerjasama kedutaan besar inggris pertemuan ini membahas peluang kerjasama strategis di bidang pengentasan kemiskinan kesehatan dan pendidikan kedutaan besar inggris menyatakan mendukung,positif
memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden pengalamannya bukan hanya nasional tapi juga internasional warga jawa tengah beruntung punya gubernur sekelas presiden calon gubernur dan wakil gubernur jawa tengah andika perkasa dan hendrar prihadi,positif
pak andika perkasa selalu jadi idola di manamana pilih rambo bukan sambo,positif
beruntungnya warga jateng ini berkah hendi sebut andika perkasa potensi besar jateng ini penjelasannya menurut pak sosok sebagai mantan panglima tni memiliki jaringan yang luas tidak hanya skala nasional namun juga internasional tidak,positif
andika perkasa siap bikin jateng perkasa andika adikrishna siap bikin blora melenting,positif
karakter pak yang tidak bisa jauh dari ibu hetty jelas membuat iri ibu ibu yang lain karakter seperti ini yang di butuhkan jawa tengah dimana kesetiaan pak andika dan sikap ke ibuan bu hetty penting bagi perkembang jawa tengah,positif
pelanpelan tapi pasti akhirnya pak andika perkasa hendi unggul atas luthfi tapi jangan lengah tetap semangat untuk,positif
berkunjung ke pt pandatex magelang andika serap aspirasi pekerja tinjau potensi lapangan pekerjaan,positif
ganjar pranowo menegaskan elektabilitas andika perkasa terus meningkat di jawa tengah karena kerja dari partai politik dan relawan rambo menuju jateng,positif
pemilihan kepala daerah jateng komunitas pengusaha jateng perkasa dukung total andikahendi,positif
andika perkasa melakukan blusukan ke pasar tradisional di demak untuk berdialog dan menyerap aspirasi pedagang tradisional yang kini lesu akibat pesatnya pasar digital,positif
jika pemilihan kepala daerah jawa tengah diadakan hari ini siapa pilihanmu andika perkasa rt ahmad lutfi like,negatif
komandan korea bambang pacul siap mengawal langsung kemenangan andika perkasa hendrar prihadi di pilgub jawa tengah aura kebahagiaan ini akan membawa kemenangan karena jateng butuh rambo bukan sambo,positif
padahal sudah ngerahin bot buat menyerang andika maupun pdip tapi ahmad luthfi taj yasin masih saja ketinggalan jauh dari andika perkasa hendrar prihadi ini menjadi bukti bahwa masyarakat jawa tengah itu butuh rambo bukan sambo,positif
calon gubernur jawa tengah nomor urut andika perkasa berkampanye di kabupaten batang jawa tengah sepanjang jumat oktober andika membahas berbagai permasalahan yang dihadapi petani dan nelayan di wilayah tersebut,positif
relawan pengusaha perkasa hebat mendeklarasikan dukungan untuk cagubcawagub jateng andika perkasahendar prihadi di acara tanglet andikahendi ketua umum relawan mengajak pemilihan pemula untuk memilih andikahendi yang memiliki rekam jejak mumpuni,positif
cagub jateng nomor urut andika perkasa berani ubah aturan di tni salah satunya berhasil melakukan reformasi birokrasi di tni jateng perkasa,positif
berpengalaman nasional dan internasional cagub jateng jenderal purnawirawan tni andika perkasa memang benar kata pihak lawan pak andika ini memang kelasnya calon presiden warga jawa tengah beruntung punya gubernur sekelas presiden ayo warga jateng pilih andika perkasa nomor,positif
